Route_Code,Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
SRSR01020922,R0001,Soura to LD,RETAINED_AS_FEEDER,FDR-054,,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9722,0.5977,0.75,0.785,True,HP,20,6,0,6,0,False,,11217,95384,292,75,0.1252,OSRM,False,Year_Round,False,True,True,False,96.0,969.5,2495.0,178.0,0.071,Amber_Under,55.9,True,1780.0,63018.0,0.028,False,921029.0,0.164,route_maps_kashmir/FDR-054.html
SRBG02022903,R0002,Parimpora to Budgam,RETAINED_AS_FEEDER,FDR-483,,31.385,Peri_Urban,2180.6,156.9,City_Core,62,31.0,11,5.5,0.2617,0.0874,0.75,0.1745,False,LP,35,6,0,6,0,False,,10117,115774,393,38,0.139,OSRM,False,Year_Round,False,False,False,False,54.9,1721.7,1285.0,66.0,0.051,Amber_Under,101.4,True,661.0,111910.0,0.006,True,1635607.0,0.099,route_maps_kashmir/FDR-483.html
SRBG02022903,R0003,Parimpora to Budgam,MERGED_INTO_TRUNK,FDR-483,Private Minibus,31.385,Peri_Urban,2180.6,156.9,City_Core,62,31.0,11,5.5,0.2617,0.0874,1.25,0.1745,False,LP,35,0,0,0,0,False,,0,115774,393,38,0.139,OSRM,False,Year_Round,False,False,False,False,54.9,1721.7,0.0,66.0,0.0,Red_NoCapacity,101.4,True,661.0,111910.0,0.006,True,1635607.0,0.099,route_maps_kashmir/FDR-483.html
SRBG02022903,R0004,Parimpora to Budgam,MERGED_INTO_TRUNK,FDR-483,Private Minibus,31.385,Peri_Urban,2180.6,156.9,City_Core,62,31.0,11,5.5,0.2617,0.0874,1.25,0.1745,False,LP,35,0,0,0,0,False,,0,115774,393,38,0.139,OSRM,False,Year_Round,False,False,False,False,54.9,1721.7,0.0,66.0,0.0,Red_NoCapacity,101.4,True,661.0,111910.0,0.006,True,1635607.0,0.099,route_maps_kashmir/FDR-483.html
SRBG02022903,R0005,Parimpora to Budgam,MERGED_INTO_TRUNK,FDR-483,LPV / Tempo,31.385,Peri_Urban,2180.6,156.9,City_Core,62,31.0,11,5.5,0.2617,0.0874,1.25,0.1745,False,LP,35,0,0,0,0,False,,0,115774,393,38,0.139,OSRM,False,Year_Round,False,False,False,False,54.9,1721.7,0.0,66.0,0.0,Red_NoCapacity,101.4,True,661.0,111910.0,0.006,True,1635607.0,0.099,route_maps_kashmir/FDR-483.html
SRSR02012904,R0006,Parimpora to Hazratbal,RETAINED_AS_FEEDER,FDR-266,,16.104,Peri_Urban,1713.6,80.5,City_Core,32,16.0,22,11.0,0.6786,0.2341,0.75,0.4564,False,MP,35,4,0,0,4,False,,10737,113789,364,53,0.0917,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,883.4,954.0,106.0,0.111,Amber_Under,63.2,True,1063.0,57422.0,0.019,True,839248.0,0.105,route_maps_kashmir/FDR-266.html
SRBG02032901,R0007,Parimpora to Chadora,RETAINED_AS_FEEDER,FDR-423,,25.752,Peri_Urban,1621.9,128.8,City_Core,51,25.5,7,3.5,0.4673,0.0939,0.75,0.2806,False,LP,35,5,0,5,0,False,,15524,137879,305,39,0.0671,OSRM,False,Year_Round,False,False,False,False,54.9,1412.7,1304.0,210.0,0.161,Amber_Under,87.4,True,2102.0,91824.0,0.023,True,1342047.0,0.152,route_maps_kashmir/FDR-423.html
SRSR02022420,R0008,Lawaypora to Jehangir Chowk,RETAINED_AS_FEEDER,FDR-389,,14.207,Urban,1005.6,113.7,City_Core,28,14.0,21,10.5,0.5254,0.1454,0.75,0.3354,False,MP,35,5,0,5,0,False,,7558,82757,376,29,0.1549,OSRM,False,Year_Round,False,False,False,False,54.9,779.4,1478.0,55.0,0.037,Amber_Under,79.8,True,554.0,50658.0,0.011,True,740388.0,0.074,route_maps_kashmir/FDR-389.html
SRBG02032901,R0009,Parimpora to Chadora,MERGED_INTO_TRUNK,FDR-423,Private Minibus,25.752,Peri_Urban,1621.9,128.8,City_Core,51,25.5,7,3.5,0.4673,0.0939,1.25,0.2806,False,LP,35,0,0,0,0,False,,0,137879,305,39,0.0671,OSRM,False,Year_Round,False,False,False,False,54.9,1412.7,0.0,210.0,0.0,Red_NoCapacity,87.4,True,2102.0,91824.0,0.023,True,1342047.0,0.152,route_maps_kashmir/FDR-423.html
SRSR01020522,R0010,Lalbazar to LD,RETAINED_AS_FEEDER,FDR-063,,9.308,Urban,1072.3,74.5,City_Core,18,9.0,7,3.5,1.0,0.5555,0.75,0.7777,True,HP,20,5,0,5,0,False,,11888,90006,260,62,0.1132,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,893.6,2255.0,209.0,0.093,Amber_Under,52.8,True,2087.0,58082.0,0.036,False,848890.0,0.174,route_maps_kashmir/FDR-063.html
SRGB01010902,R0011,Soura to Gadoora,RETAINED_AS_FEEDER,FDR-002,,17.862,Peri_Urban,1327.1,89.3,City_Core,35,17.5,8,4.0,0.2781,0.1654,0.75,0.2218,False,LP,35,4,0,4,0,False,,21707,68267,108,42,0.0187,OSRM,False,Year_Round,False,False,False,False,54.9,979.9,1505.0,1054.0,0.701,Green,67.6,True,10544.0,63691.0,0.166,True,930865.0,0.212,route_maps_kashmir/FDR-002.html
SRGB01010903,R0012,Soura to Ganderbal,RETAINED_AS_FEEDER,FDR-476,,9.86,Urban,959.3,78.9,City_Core,19,9.5,6,3.0,0.2351,0.1407,0.75,0.1879,False,LP,35,4,0,0,4,False,,10891,34248,108,20,0.0215,OSRM,False,Year_Round,False,False,False,False,54.9,540.9,973.0,575.0,0.591,Green,62.4,True,5751.0,35158.0,0.164,True,513847.0,0.106,route_maps_kashmir/FDR-476.html
SRGB01010903,R0013,Soura to Ganderbal,MERGED_INTO_TRUNK,FDR-476,LPV / Tempo,9.86,Urban,959.3,78.9,City_Core,19,9.5,6,3.0,0.2351,0.1407,1.25,0.1879,False,LP,35,0,0,0,0,False,,0,34248,108,20,0.0215,OSRM,False,Year_Round,False,False,False,False,54.9,540.9,0.0,575.0,0.0,Red_NoCapacity,62.4,True,5751.0,35158.0,0.164,True,513847.0,0.106,route_maps_kashmir/FDR-476.html
SRSR01020523,R0014,Lalbazar to Lalchowk,RETAINED_AS_FEEDER,FDR-076,,8.433,Urban,617.5,67.5,City_Core,16,8.0,11,5.5,1.0,0.5182,0.75,0.7591,True,HP,20,5,0,5,0,False,,6066,83040,470,56,0.128,OSRM,False,Year_Round,False,False,False,False,96.0,809.6,2489.0,94.0,0.038,Amber_Under,49.2,True,942.0,52622.0,0.018,False,769090.0,0.089,route_maps_kashmir/FDR-076.html
